	SMILES	Name
63	O=C([O-])[C@]1(CCCCCCOc2ccc(Cl)cc2)CO1	ZINC05841707
64	CCOC(=O)[C@H]1O[C@]1(C)CC(C)C	ZINC05857077
65	CC(=O)OC[C@H](C(=O)OC1C[C@H]2[C@H]3O[C@H]3[C@@H](C1)[N+]2(C)C)c1ccccc1	ZINC05857157
66	C[C@]1(C(=O)/C=C\c2ccc(Cl)cc2)CO1	ZINC05898782
67	CO[C@@H]([C@@H]1CO1)n1nnc2ccccc21	ZINC05915167
68	CO[C@@H]([C@H]1CO1)n1nnc2ccccc21	ZINC05915170
69	COC(=O)Cc1c[nH]c2ccc(OC[C@@H]3CO3)cc12	ZINC00294676
70	CO[C@H]([C@@H]1CO1)n1nnc2ccccc21	ZINC05915211
71	CO[C@H]([C@H]1CO1)n1nnc2ccccc21	ZINC05915214
72	CCOC(=O)[C@H]1O[C@@H]1C(=O)N[C@H](CC(C)C)C(=O)NCCC(C)C	ZINC05922293
73	CC[C@]1(C)OC[C@H](COC[C@@H]2CO2)O1	ZINC05924039
74	CC[C@]1(C)OC[C@@H](COC[C@@H]2CO2)O1	ZINC05924044
75	C=C[C@](C)(CC[C@@H]1O[C@]1(C)CC)OC(C)=O	ZINC05924080
76	C=C[C@](C)(CC[C@H]1O[C@]1(C)CC)OC(C)=O	ZINC05924091
77	O[C@H]([C@@H]1CO1)[C@H](Oc1ccccc1)n1nnc2ccccc21	ZINC05947487
78	O[C@@H]([C@@H]1CO1)[C@H](Oc1ccccc1)n1nnc2ccccc21	ZINC05947488
79	O[C@H]([C@@H]1CO1)[C@@H](Oc1ccccc1)n1nnc2ccccc21	ZINC05947490
80	O[C@@H]([C@@H]1CO1)[C@@H](Oc1ccccc1)n1nnc2ccccc21	ZINC05947492
81	CCCC[NH+](CCCC)C[C@@H]1OC1(C)C	ZINC05951479
82	CC[C@@]1(C)OC[C@H](COC[C@@H]2CO2)O1	ZINC05954978
83	CC[C@@]1(C)OC[C@@H](COC[C@@H]2CO2)O1	ZINC05954985
84	C=C[C@](C)(CC[C@@H]1O[C@@]1(C)CC)OC(C)=O	ZINC05955005
85	C=C[C@](C)(CC[C@H]1O[C@@]1(C)CC)OC(C)=O	ZINC05955020
86	COc1ccc(/C=C\C(=O)[C@@]2(C)CO2)cc1	ZINC05962302
87	COCCc1ccc(OC[C@@H]2CO2)cc1	ZINC05997887
88	COCCc1ccc(OC[C@H]2CO2)cc1	ZINC05997888
89	COc1cc(C[C@@H]2CO2)ccc1O	ZINC05999093
90	COc1cc(C[C@H]2CO2)ccc1O	ZINC05999106
91	COc1ccc(CC[C@@H]2CO2)cc1	ZINC06018235
92	COc1ccc(CC[C@H]2CO2)cc1	ZINC06018236
93	COc1ccc(C[C@@H]2CO2)cc1OC	ZINC06018625
94	COc1ccc(C[C@H]2CO2)cc1OC	ZINC06018633
95	CS(=O)(=O)c1ccc(OC[C@@H]2CO2)cc1	ZINC06019594
96	CS(=O)(=O)c1ccc(OC[C@H]2CO2)cc1	ZINC06019596
97	COC(C)(C)CCC[C@H](C)[C@@H]1CO1	ZINC06020545
98	COC(C)(C)CCC[C@H](C)[C@H]1CO1	ZINC06020547
99	CC1=CCC[C@@H]2[C@]1(C)C(=O)[C@H](O)[C@@H](C)[C@@]2(C)C[C@@H](O)[C@]1(C(=O)C=O)CO1	ZINC06031789
100	ClC1(Cl)C[C@@H]1COC[C@@H]1CO1	ZINC00086147
101	CCOC(=O)[C@]1(CC)OC12CCCCC2	ZINC00295425
102	COC(C)(C)CCC[C@@H](C)[C@@H]1CO1	ZINC06036339
103	COC(C)(C)CCC[C@@H](C)[C@H]1CO1	ZINC06036342
104	CC(C)[C@]1(O)C[C@H](O)[C@@]2(C)C[C@H]3O[C@]3(C)C[C@@H](OC(=O)c3ccc(O)cc3)[C@@H]21	ZINC06049902
105	CC(C)[C@]1(O)C[C@@H](O)[C@@]2(C)C[C@H]3O[C@]3(C)C[C@@H](OC(=O)c3ccc(O)cc3)[C@@H]21	ZINC06049903
106	CC(C)[C@@]1(O)C[C@H](O)[C@@]2(C)C[C@H]3O[C@]3(C)C[C@@H](OC(=O)c3ccc(O)cc3)[C@H]12	ZINC06049989
107	CC(=O)OCC(=O)[C@@]1(O)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]34O[C@H]4C[C@@]21C	ZINC06066703
108	COc1ccc(/C=C\C(=O)[C@]2(C)CO2)cc1	ZINC06073093
109	Clc1ccc(CC[C@@H]2CO2)cc1	ZINC06092870
110	Clc1ccc(CC[C@H]2CO2)cc1	ZINC06092871
111	CCOC(=O)[C@@]1(CC)O[C@@H]1c1ccc(OC)cc1	ZINC00295426
112	NC(=O)C1(C(N)=O)O[C@@H]1C(=O)c1ccccc1	ZINC06095849
113	NC(=O)C1(C(N)=O)O[C@H]1C(=O)c1ccccc1	ZINC06095854
114	COC(=O)c1cc2occc2n1C[C@@H]1CO1	ZINC06145366
115	COc1ccc([C@@H]2CO2)c(OCn2nnc3ccccc32)c1	ZINC06145667
116	COc1ccc([C@H]2CO2)c(OCn2nnc3ccccc32)c1	ZINC06145668
117	CCc1c(C)c(OC[C@H]2CO2)cc(C)c1OC(C)=O	ZINC06168644
118	COC(=O)c1cccc(OC[C@@H]2CO2)c1	ZINC06180046
119	COC(=O)c1cccc(OC[C@H]2CO2)c1	ZINC06180049
120	CCOC(=O)[C@]1(CC)O[C@@H]1c1ccc(OC)cc1	ZINC00295428
121	Cc1cc(N2CC[NH+](C)CC2)nc(SC[C@@H]2CO2)n1	ZINC06189370
122	Cc1cc(N2CCOCC2)nc(SC[C@@H]2CO2)n1	ZINC06189372
123	Cc1cc(N2CC[NH+](C)CC2)nc(SC[C@H]2CO2)n1	ZINC06189375
124	Cc1cc(N2CCOCC2)nc(SC[C@H]2CO2)n1	ZINC06189377
125	CCCCCCOCCOC[C@@H]1CO1	ZINC06203370
126	CCCCCCOCCOC[C@H]1CO1	ZINC06203372
127	Clc1cccc(OC[C@@H]2CO2)c1	ZINC06220667
128	Clc1cccc(OC[C@H]2CO2)c1	ZINC06220669
129	c1ccc([C@@H]2CO2)c(OCn2nnc3ccccc32)c1	ZINC06251884
130	c1ccc([C@H]2CO2)c(OCn2nnc3ccccc32)c1	ZINC06251890
131	CCOC(=O)[C@@]1(CC)O[C@H]1c1ccc(OC)cc1	ZINC00295430
132	CCC1(CC)O[C@H]1n1nnc2ccccc21	ZINC06273088
133	CCC1(CC)O[C@@H]1n1nnc2ccccc21	ZINC06273089
134	Cn1cnnc1SC[C@@H]1CO1	ZINC06320700
135	Cn1cnnc1SC[C@H]1CO1	ZINC06320702
136	c1ccc(CO[C@H]2O[C@H]3CO[C@H](c4ccccc4)O[C@H]3[C@@H]3O[C@H]23)cc1	ZINC06339552
137	c1ccc(CO[C@@H]2O[C@H]3CO[C@H](c4ccccc4)O[C@H]3[C@@H]3O[C@@H]32)cc1	ZINC06339558
138	c1ccc(CO[C@@H]2O[C@@H]3CO[C@H](c4ccccc4)O[C@H]3[C@@H]3O[C@@H]32)cc1	ZINC06339560
139	CCOC(=O)[C@H]1O[C@H]1c1c([O-])[nH]c2ncccc2c1=O	ZINC06380601
140	CCOC(=O)[C@H]1O[C@@H]1c1c([O-])[nH]c2ncccc2c1=O	ZINC06380633
141	CCOC(=O)[C@@H]1O[C@H]1c1c([O-])[nH]c2ncccc2c1=O	ZINC06380695
142	CCOC(=O)[C@]1(CC)O[C@H]1c1ccc(OC)cc1	ZINC00295432
143	CCOC(=O)[C@@H]1O[C@@H]1c1c([O-])[nH]c2ncccc2c1=O	ZINC06380735
144	COc1ccn(C[C@@]2(C)CO2)c(=O)n1	ZINC06442170
145	COc1cc(OC)cc(C(=O)[C@H]2O[C@@H]2c2ccc3c(c2)OCO3)c1	ZINC06453620
146	COc1cc(OC)cc(C(=O)[C@@H]2O[C@H]2c2ccc3c(c2)OCO3)c1	ZINC06453621
147	COc1cc(OC)cc(C(=O)[C@@H]2O[C@@H]2c2ccc3c(c2)OCO3)c1	ZINC06453622
148	Cc1cc2oc(=O)cc(C)c2cc1OC[C@@H]1CO1	ZINC06501368
149	O=Cc1c(OC[C@H]2CO2)ccc2ccccc12	ZINC00316618
150	Cc1cc2oc(=O)cc(C)c2cc1OC[C@H]1CO1	ZINC06501369
151	O=C(OC[C@]12O[C@H]1C=C[C@H](OC(=O)c1ccccc1)[C@@H]2O)c1ccccc1	ZINC06514689
152	C[C@]1(c2ccccc2OCn2nnc3ccccc32)CO1	ZINC06523972
153	C[C@@]1(c2ccccc2OCn2nnc3ccccc32)CO1	ZINC06525819
154	CCOC(=O)C1CC[NH+](C[C@H]2C(=O)O[C@@H]3C[C@@]4(C)CCC[C@H](C)[C@]45O[C@@H]5[C@H]23)CC1	ZINC06623682
155	C[C@]12CCC[C@]3(CO3)[C@@H]1C[C@@H]1[C@@H](C[NH+]3CCCC[C@@H]3CO)C(=O)O[C@@H]1C2	ZINC06623742
156	C[C@]12CCC[C@]3(CO3)[C@H]1C[C@@H]1[C@@H](C[NH+]3CCCC[C@@H]3CO)C(=O)O[C@@H]1C2	ZINC06623744
157	C[C@H]([NH2+]C[C@H]1C(=O)O[C@@H]2C[C@@]3(C)CCC[C@H](C)[C@@]34O[C@H]4[C@H]12)c1ccccc1	ZINC06623785
158	O=Cc1c(OC[C@@H]2CO2)ccc2ccccc12	ZINC00316619
159	C[C@H]([NH2+]C[C@H]1C(=O)O[C@@H]2C[C@@]3(C)CCC[C@H](C)[C@]34O[C@@H]4[C@H]12)c1ccccc1	ZINC06623786
160	COc1ccccc1C[NH2+]C[C@H]1C(=O)O[C@@H]2C[C@@]3(C)CCC[C@]4(CO4)[C@@H]3C[C@H]12	ZINC06623803
161	COc1ccccc1C[NH2+]C[C@H]1C(=O)O[C@@H]2C[C@@]3(C)CCC[C@@]4(CO4)[C@@H]3C[C@H]12	ZINC06623804
162	COc1ccccc1C[NH2+]C[C@H]1C(=O)O[C@@H]2C[C@@]3(C)CCC[C@]4(CO4)[C@H]3C[C@H]12	ZINC06623805
163	COC(=O)c1cc2oc3ccccc3c2n1C[C@@H]1CO1	ZINC06640418
164	Cc1ccc(S(=O)(=O)O[C@@H]2[C@@H]3OC[C@@H](O3)[C@H]3O[C@@H]23)cc1	ZINC06670396
165	C=CCOc1ccc(OC[C@@H]2CO2)cc1	ZINC06744761
166	C=CCOc1ccc(OC[C@H]2CO2)cc1	ZINC06744770
167	Fc1ccc([C@@]2(Cn3cncn3)CO2)c(F)c1	ZINC00336571
168	Cc1ccc(OCn2nnc3ccccc32)c([C@@H]2CO2)c1	ZINC06788011
169	Cc1ccc(OCn2nnc3ccccc32)c([C@H]2CO2)c1	ZINC06788018
170	COc1ccc(C(=O)[C@H]2O[C@@H]2c2ccc3c(c2)OCO3)cc1	ZINC06793511
171	COc1ccc(C(=O)[C@@H]2O[C@H]2c2ccc3c(c2)OCO3)cc1	ZINC06793513
172	COc1ccc(C(=O)[C@@H]2O[C@@H]2c2ccc3c(c2)OCO3)cc1	ZINC06793515
173	C[C@@H]1CC[C@H]2[C@H](C[NH+](C)C[C@@](C)(O)c3ccccc3)C(=O)O[C@]23[C@H]1CC[C@@]1(C)O[C@H]13	ZINC06851723
174	CCOCCOCCOC(=O)[C@@H]1CC[C@@H]2O[C@@H]2C1	ZINC06892191
175	CCOCCOCCOC(=O)[C@H]1CC[C@@H]2O[C@@H]2C1	ZINC06892192
176	Fc1ccc([C@]2(Cn3cncn3)CO2)c(F)c1	ZINC00336572
177	COC(=O)c1cc2oc(C)c(C)c2n1C[C@@H]1CO1	ZINC06921830
178	CO[C@@H]1O[C@@H](COC(=O)c2ccc(C)cc2)[C@H]2O[C@@H]12	ZINC06996060
179	O=c1c2ccccc2c(-c2ccccc2)nn1C[C@@H]1CO1	ZINC08040453
180	O=c1c2ccccc2c(-c2ccccc2)nn1C[C@H]1CO1	ZINC08040455
181	COC(=O)c1ccc(OC[C@@H]2CO2)c(OC)c1	ZINC08075014
182	COC(=O)c1ccc(OC[C@H]2CO2)c(OC)c1	ZINC08075016
